SPIlha Comprida;352042;3520426;SP;Ilha Comprida;Região Sudeste;9025;Pequeno I;;
SPIlha Solteira;352044;3520442;SP;Ilha Solteira;Região Sudeste;25064;Pequeno II;;
SPIndaiatuba;352050;3520509;SP;Indaiatuba;Região Sudeste;201619;Grande;;
SPIndiana;352060;3520608;SP;Indiana;Região Sudeste;4825;Pequeno I;;
SPIndiaporã;352070;3520707;SP;Indiaporã;Região Sudeste;3903;Pequeno I;;
SPInúbia Paulista;352080;3520806;SP;Inúbia Paulista;Região Sudeste;3630;Pequeno I;;
SPIpaussu;352090;3520905;SP;Ipaussu;Região Sudeste;13663;Pequeno I;;
SPIperó;352100;3521002;SP;Iperó;Região Sudeste;28300;Pequeno II;;
SPIpeúna;352110;3521101;SP;Ipeúna;Região Sudeste;6016;Pequeno I;;
SPIpiguá;352115;3521150;SP;Ipiguá;Região Sudeste;4463;Pequeno I;;
SPIporanga;352120;3521200;SP;Iporanga;Região Sudeste;4299;Pequeno I;;
SPIpuã;352130;3521309;SP;Ipuã;Região Sudeste;14148;Pequeno I;;
SPIracemápolis;352140;3521408;SP;Iracemápolis;Região Sudeste;20029;Pequeno II;;
SPIrapuã;352150;3521507;SP;Irapuã;Região Sudeste;7275;Pequeno I;;
SPIrapuru;352160;3521606;SP;Irapuru;Região Sudeste;7789;Pequeno I;;
SPItaberá;352170;3521705;SP;Itaberá;Região Sudeste;17858;Pequeno I;;
SPItaí;352180;3521804;SP;Itaí;Região Sudeste;24008;Pequeno II;;
SPItajobi;352190;3521903;SP;Itajobi;Região Sudeste;14556;Pequeno I;;
SPItaju;352200;3522000;SP;Itaju;Região Sudeste;3246;Pequeno I;;
SPItanhaém;352210;3522109;SP;Itanhaém;Região Sudeste;87057;Médio;;
SPItaóca;352215;3522158;SP;Itaóca;Região Sudeste;3228;Pequeno I;;
SPItapecerica da Serra;352220;3522208;SP;Itapecerica da Serra;Região Sudeste;152614;Grande;;
SPItapetininga;352230;3522307;SP;Itapetininga;Região Sudeste;144377;Grande;;
